Traffic_Light_State,Weather_Condition,Traffic_Condition,Latitude,Longitude,Vehicle_Count,Traffic_Speed_kmh,Road_Occupancy_%,Accident_Report,Sentiment_Score,Ride_Sharing_Demand,Parking_Availability,Emission_Levels_g_km,Energy_Consumption_L_h
Yellow,Clear,High,4.071.281.368.960.930,-739.779.255.619.999,218,3.484.011.267.879.220,47.075.991.251.459.500,0,-5.966.954.078.995.320,93,13,17.310.973.182.672.900,"243854864401454000,00%"
Yellow,Snow,High,40.672.851.679.406,-7.382.337.118.763.080,252,6.253.543.593.274.430,3.240.842.890.521.830,1,3.358.645.693.691.900,57,7,22.529.943.376.530.100,"29140194066761700,00%"
Yellow,Clear,High,4.082.159.292.672.690,-739.217.397.771.606,210,5.224.171.157.196.590,9.933.259.308.202.230,1,-7.042.743.748.853.120,13,22,2.461.801.460.562.620,"184481973961822000,00%"
Red,Rain,High,4.070.967.261.072.140,-7.383.307.364.220.480,151,4.236.200.891.099.070,26.348.839.803.287.300,1,-11.207.111.066.054.000,9,6,1.731.394.960.863.470,"247214581140471000,00%"
Yellow,Snow,High,4.068.247.270.139.090,-7.384.167.738.238.080,215,18.180.300.774.320.400,8.742.240.436.861.430,0,3.721.319.238.065.240,22,41,3.057.614.597.251.390,"517668196908772000,00%"
Yellow,Clear,High,4.082.131.053.151.670,-7.377.278.479.735.910,140,6.738.097.184.283.900,6.537.769.338.999.990,1,-6.481.542.528.555.030,18,7,2.590.982.079.701.970,"1456137820674080000,00%"
Yellow,Clear,High,4.089.287.184.154.190,-739.359.551.257.928,45,10.770.878.097.402.600,9.390.156.012.276.370,0,-7.146.990.098.448.260,19,45,14.980.677.118.819.400,"166934035980936000,00%"
Yellow,Clear,High,40.867.750.007.811.300,-7.373.154.039.901.350,82,1.938.513.963.138.690,26.623.527.535.584.300,0,-6.887.148.153.236.170,54,16,14.029.720.979.257.900,"81460000801043500,00%"
Red,Fog,High,4.085.531.419.010.620,-7.375.481.916.911.980,123,15.911.469.895.533.700,5.551.110.765.453.320,0,5.204.818.348.862.960,45,47,35.890.944.796.223.200,"2679697545644370000,00%"
Red,Snow,High,4.088.874.291.134.560,-7.381.888.503.928.950,198,19.844.794.553.565.700,33.495.198.127.134.900,1,7.236.956.489.130.190,25,40,32.562.990.087.893.800,"1577551460232320000,00%"
Green,Rain,High,408.794.761.002.834,-7.383.186.852.212.430,136,16.561.049.099.448.300,3.077.082.068.068.150,0,8.609.837.121.409.320,65,39,3.681.357.082.676.960,"75277188248168300,00%"
Red,Fog,High,4.074.827.502.595.460,-7.387.102.395.864.270,221,7.008.462.479.503.860,2.956.056.144.566.900,0,9.436.444.030.068.440,78,8,8.634.575.487.112.260,"296643027726932000,00%"
Yellow,Snow,High,4.070.019.287.867.060,-7.382.487.755.118.210,137,794.214.444.749.464,845.108.986.901.204,0,-34.104.115.855.845.400,29,41,349.218.196.630.785,"251108632132650000,00%"
Green,Snow,High,407.479.362.207.369,-7.395.509.346.386.500,214,2.542.382.570.832.400,19.376.250.386.937.500,0,3.821.161.341.738.320,22,19,22.176.996.572.556.300,"192344141020635000,00%"
Red,Snow,High,4.078.877.976.756.030,-7.376.838.149.507.090,281,1.326.474.992.879.450,5.818.370.581.175.110,1,-3.767.215.807.261.760,35,0,3.790.542.809.968.870,"192801072281255000,00%"
Green,Clear,High,4.084.933.079.489.900,-7.396.735.633.341.030,222,7.676.166.015.647.460,740.698.848.348.149,0,-260.474.304.340.675,43,13,3.568.395.922.478.620,"183694534625400000,00%"
Green,Clear,High,4.085.417.260.311.690,-7.370.652.470.068.370,19,772.437.574.054.963,9.227.775.067.294.100,0,-432.892.162.678.552,94,2,3.751.186.187.609.810,"1957978042715750000,00%"
Green,Clear,High,40.882.909.782.683.900,-7.383.165.292.235.280,189,7.022.677.508.648.650,9.886.382.519.212.040,0,-542.738.200.405.317,47,4,36.876.485.532.722.100,"2405756101075530000,00%"
Green,Snow,High,4.071.499.997.727.860,-7.376.411.510.052.820,281,1.416.203.731.874.640,6.825.997.099.365.250,0,2.547.448.452.997.730,21,46,2.749.806.060.507.140,"1794237364710490000,00%"
Yellow,Clear,High,4.078.194.711.003.650,-738.569.035.453.157,80,1.842.967.151.997.420,3.419.133.842.233.460,0,7.540.862.170.799.650,23,41,2.730.300.831.540.940,"261831352738333000,00%"
Red,Fog,High,40.879.833.332.150.300,-7.377.168.987.117.360,239,3.656.786.332.695.680,8.606.266.894.369.280,0,-8.229.646.923.235.140,84,32,48.555.202.695.900.900,"295733957676191000,00%"
Red,Clear,High,406.930.092.122.073,-7.382.055.586.526.860,97,8.926.996.956.879.170,7.623.317.962.131.350,0,-6.376.224.564.983.780,54,28,3.953.302.183.681.580,"2765272680444560000,00%"
Red,Rain,High,4.066.847.555.003.870,-7.395.296.230.789.570,190,6.778.000.168.673.330,831.169.228.456.227,1,5.057.972.298.543.110,78,15,15.359.559.839.658.900,"138044800306466000,00%"
Yellow,Clear,High,4.071.448.728.403.790,-7.381.265.354.760.590,175,6.669.172.662.042.990,9.181.519.685.125.930,0,1.652.024.213.864.520,80,3,26.866.626.724.806.500,"2840627960349510000,00%"
Green,Fog,High,4.065.340.381.086.580,-7.380.797.646.604.030,115,21.628.096.197.373.500,9.105.042.630.011.350,0,-562.411.363.912.279,9,29,2.155.926.580.469.300,"851708516543769000,00%"
Green,Rain,High,4.067.460.106.169.230,-7.393.946.390.521.790,299,4.315.571.262.538.430,7.207.266.755.871.370,0,-5.659.286.291.319.020,17,31,5.915.558.915.762.350,"2762093517466130000,00%"
Green,Rain,High,4.074.220.383.341.710,-7.383.474.361.446.410,270,51.060.283.259.935.000,6.860.162.128.344.920,0,2.114.052.875.973.240,31,23,7.300.438.555.341.920,"994719652316826000,00%"
Red,Rain,High,4.065.520.775.296.860,-7.399.893.690.957.350,265,4.567.819.177.246.180,9.515.882.223.118.150,0,-892.896.451.590.165,28,16,7.539.928.905.835.820,"723836904242465000,00%"
Green,Clear,High,4.088.284.266.099.320,-7.374.806.261.520.600,150,56.509.352.707.418.300,835.366.974.969.094,0,24.079.813.108.778.600,15,46,11.881.599.961.129.500,"1265024304392810000,00%"
Yellow,Fog,High,40.758.557.951.096.600,-7.382.856.819.360.610,208,29.366.077.068.113.500,9.577.603.712.641.650,0,-6.694.599.585.673.750,76,4,2.472.845.561.648.230,"114548093265093000,00%"
Red,Clear,High,40.744.766.116.550.900,-737.686.013.753.846,229,6.452.785.767.651.950,7.138.263.403.223.430,0,-9.215.476.562.513.910,35,32,3.638.115.868.185.150,"1686941646969930000,00%"
Red,Rain,High,4.064.459.651.050.150,-7.377.711.194.067.740,10,7.321.097.061.421.600,34.867.970.946.665.100,1,-18.844.733.047.399.200,48,8,13.597.109.165.544.800,"51332480434020900,00%"
Green,Fog,High,4.071.106.996.907.450,-7.379.563.872.024.140,230,12.880.797.779.709.100,853.404.076.281.406,0,9.732.660.805.044.240,33,10,48.601.144.152.282.700,"1842472463070970000,00%"
Green,Snow,High,4.085.292.166.251.950,-7.370.496.358.318.010,247,7.274.879.146.090.880,70.312.929.254.896,0,48.601.707.667.026.500,30,27,47.778.173.381.931.300,"672948455436338000,00%"
Red,Fog,High,4.066.676.129.822.440,-7.372.807.744.559.050,129,23.414.821.839.330.800,9.107.647.327.243.910,0,8.263.066.436.696.050,61,36,3.835.786.516.310.710,"1344801143069580000,00%"
Green,Rain,High,40.679.138.469.651.900,-7.378.421.383.679.050,226,6.157.510.382.640.190,1.052.271.355.276.310,0,-7.365.699.666.718.350,45,24,13.262.041.873.278.000,"10718795408954400,00%"
Red,Rain,High,4.077.141.884.760.380,-7.371.760.091.892.890,42,12.070.081.258.636.500,6.678.813.024.562.020,0,8.945.233.752.785.420,8,34,2.637.511.954.580.670,"1495617608215410000,00%"
Green,Snow,High,40.888.453.141.954.200,-739.294.699.926.508,284,15.187.837.028.844.400,7.295.091.326.761.830,1,-47.455.837.026.856.200,96,21,12.183.297.925.887.000,"2392597652739200000,00%"
Red,Clear,High,4.077.011.145.755.720,-7.385.012.816.425.440,223,6.272.119.467.482.310,7.169.245.681.933.610,0,28.012.798.141.606.600,74,22,40.407.860.361.837.800,"1804264347873190000,00%"
Green,Fog,High,4.072.584.865.915.990,-7.372.168.917.732.380,132,3.716.291.712.139.990,8.347.685.689.289.690,1,28.852.616.008.066.800,92,30,47.532.193.085.387.200,"7212463518267520000,00%"
Yellow,Clear,High,407.915.299.814.293,-7.374.483.542.048.330,276,12.966.182.294.310.500,8.169.872.238.759.460,0,-5.474.250.654.051.260,62,23,17.738.273.175.878.600,"1425840241202030000,00%"
Green,Fog,High,4.070.329.849.889.520,-737.694.181.071.432,279,58.537.084.676.567.500,6.041.256.733.269.620,0,-58.779.494.690.544,44,34,4.199.276.556.802.540,"1473090420059330000,00%"
Red,Rain,High,4.071.134.754.151.480,-7.387.952.794.568.150,84,7.878.275.280.746.130,8.975.984.205.993.340,0,-16.960.401.527.612.700,62,48,3.034.841.800.857.840,"846518081000356000,00%"
Red,Fog,High,406.429.436.404.894,-7.397.579.366.983.310,56,4.273.853.358.496.430,8.805.023.365.254.470,0,18.870.099.831.167.100,10,24,32.154.864.716.097.300,"1639599486667910000,00%"
Red,Fog,High,40.820.224.293.275.600,-7.391.737.417.531.590,259,731.710.381.743.984,12.107.566.800.664.900,0,34.659.243.933.266.000,30,28,54.214.921.964.565.800,"209364512376640000,00%"
Yellow,Snow,High,40.784.011.066.378.500,-7.377.077.585.633.930,260,9.460.907.032.531.440,4.464.328.103.353.890,0,-3.780.778.110.265.840,47,15,1.066.305.579.528.740,"1183401793924990000,00%"
Red,Snow,High,4.085.681.318.077.820,-7.372.340.968.251.880,243,5.786.729.535.854.130,9.913.678.701.518.400,0,-17.923.163.626.736.200,43,19,11.448.667.595.335.200,"1228173528670630000,00%"
Green,Rain,High,40.677.988.536.055.000,-7.396.070.638.857.360,155,10.270.943.204.715.400,7.234.141.887.899.840,0,8.140.521.535.871.420,13,1,3.469.043.878.241.890,"2832109816954690000,00%"
Yellow,Rain,High,40.862.322.069.863.800,-7.398.145.215.334.630,202,2.837.527.236.722.480,8.059.286.311.308.260,0,21.052.790.721.851.900,69,23,14.034.836.599.839.400,"849985477795417000,00%"
Yellow,Fog,High,40.833.382.836.614.800,-738.531.488.141.742,247,9.416.938.646.491.080,7.157.366.816.933.700,0,-9.769.177.357.053.800,55,7,29.957.588.116.972.600,"2079163176153050000,00%"
Yellow,Clear,High,4.063.962.449.750.660,-737.595.060.142.694,31,5.571.885.295.582.320,3.297.233.456.978.150,1,-90.650.173.267.921,93,14,40.797.059.837.482.200,"239086915045371000,00%"
Yellow,Clear,High,40.836.523.587.014.000,-7.395.715.942.218.780,180,17.012.427.464.388.400,7.142.668.788.753.360,0,-9.278.949.758.674.290,44,6,2.637.557.503.145.130,"211545152818426000,00%"
Yellow,Fog,High,4.070.171.385.273.010,-739.504.866.022.643,287,56.393.124.506.847.100,40.477.962.994.828.500,0,-4.626.603.777.009.450,17,45,9.428.305.690.667.630,"2245013101582440000,00%"
Red,Rain,High,407.031.996.878.714,-739.562.743.515.109,244,27.565.682.048.729.700,43.345.036.962.108.600,0,-3.300.903.419.250.280,98,49,25.162.265.826.179.700,"627750498698760000,00%"
Green,Rain,High,4.082.409.528.598.180,-7.382.825.547.105.540,209,7.892.337.405.391.700,9.800.510.072.409.900,0,1.735.322.646.577.560,69,36,46.085.392.324.081.200,"2703382621607510000,00%"
Yellow,Clear,High,40.789.971.549.078.000,-7.395.370.896.259.120,64,10.492.355.756.950.800,321.497.911.625.505,0,-32.306.667.541.413.400,63,29,28.308.265.633.893.000,"1386289769453250000,00%"
Yellow,Rain,High,4.061.715.235.293.820,-7.394.710.096.333.590,235,14.842.272.862.005.100,52.455.794.404.403.700,0,-9.205.590.681.094.960,80,49,3.560.269.085.599.690,"504901765180084000,00%"
Green,Fog,High,4.068.570.384.743.210,-7.398.467.455.499.650,275,34.627.208.688.665.300,41.922.106.714.085.600,0,4.531.842.439.105.580,69,5,41.014.428.652.975.400,"2930666079466800000,00%"
Green,Clear,High,4.083.248.875.036.160,-737.509.323.760.266,241,39.161.868.334.729.000,16.854.562.029.194.000,0,-5.882.765.960.512.490,39,4,20.597.112.038.697.800,"2859161133731570000,00%"
Red,Snow,High,4.077.782.284.111.990,-7.378.768.278.676.320,203,17.842.730.994.555.600,4.061.841.508.246.400,0,-44.775.239.476.628.500,54,37,4.663.863.109.826.170,"1387194365217630000,00%"
Red,Rain,High,408.021.054.064.612,-7.373.001.738.300.800,200,6.141.107.650.075.550,41.558.373.697.721.800,1,577.451.776.714.931,65,33,23.184.198.462.186.800,"288126764649288000,00%"
Red,Clear,High,4.063.190.574.306.260,-739.319.876.855.783,212,7.619.048.879.252.940,29.367.263.682.623.400,1,-15.561.716.895.132.100,74,3,11.254.435.285.844.700,"616416729047626000,00%"
Red,Snow,High,4.068.192.169.615.880,-7.388.662.637.107.600,250,2.556.120.556.687.470,8.669.387.196.066.030,1,-9.800.784.433.136.290,32,0,4.299.689.943.738.390,"1055289898591080000,00%"
Yellow,Rain,High,4.065.379.690.342.970,-7.392.185.579.226.760,183,3.994.560.011.149.490,8.978.695.443.525.100,0,9.940.434.840.131.150,77,48,43.966.354.206.696.300,"1733740713517980000,00%"
Red,Clear,High,407.134.247.763.327,-737.854.826.962.423,235,6.337.711.828.487.760,7.866.583.238.317.970,0,9.570.031.653.661.600,75,36,40.047.427.542.568.200,"2771122132974350000,00%"
Red,Fog,High,4.063.024.471.081.630,-7.396.139.833.103.220,299,43.913.533.222.175.800,6.136.158.681.439.550,0,-2.585.721.856.769.900,27,46,1.374.696.034.268.230,"283585648976335000,00%"
Green,Rain,High,4.080.958.990.065.590,-7.372.970.167.477.290,209,1.137.362.296.022.610,10.010.145.469.593.400,0,-871.057.145.668.692,50,42,42.312.376.498.601.000,"1962043906027940000,00%"
Red,Snow,High,40.617.089.828.214.200,-7.390.478.305.561.600,252,479.431.909.965.167,2.729.837.872.108.250,0,5.471.897.212.184.590,93,9,8.299.924.429.503.070,"169168882444030000,00%"
Yellow,Snow,High,4.068.149.837.089.550,-7.370.964.778.064.330,238,30.031.784.099.576.400,7.592.170.734.061.910,0,2.626.965.402.375.570,9,42,1.653.577.200.575.060,"1640296534806420000,00%"
Green,Snow,High,4.083.414.962.881.830,-7.385.583.427.816.360,159,30.553.598.312.207.500,7.299.673.001.895.720,1,45.926.996.860.982.700,1,27,4.226.820.142.973.110,"93037225079290700,00%"
Red,Clear,High,4.083.214.808.570.920,-7.377.948.966.675.410,259,3.980.128.988.262.030,23.723.588.434.357.700,0,4.744.653.748.713.360,84,24,4.188.843.126.275.040,"1172988008295390000,00%"
Green,Clear,High,408.579.847.934.018,-7.395.477.463.504.080,155,1.969.010.115.223.110,2.954.843.670.679.480,0,57.830.219.329.978.800,36,12,20.252.676.694.419.200,"744711105352250000,00%"
Green,Rain,High,4.089.547.425.932.060,-7.378.179.213.752.430,243,34.490.361.709.343.400,21.380.997.505.018.800,1,14.448.175.717.715.100,79,34,2.901.884.274.689.140,"1593030892287210000,00%"
Red,Snow,High,4.072.771.042.692.590,-7.388.918.558.696.000,213,18.461.297.116.316.000,6.903.869.026.841.990,1,32.824.904.540.768.800,12,26,458.189.588.889.855,"297777412405879000,00%"
Red,Rain,High,40.757.175.839.370.100,-7.392.912.036.223.050,234,42.266.482.198.270.000,5.782.180.645.771.050,0,713.683.921.460.317,72,4,2.877.098.345.216.130,"2524271826284330000,00%"
Green,Clear,High,4.061.571.682.492.910,-7.395.965.521.908.660,212,11.354.005.309.387.200,7.258.057.944.238.200,0,-4.091.945.141.213.530,58,13,3.503.663.579.408.970,"240611617706344000,00%"
Yellow,Fog,High,4.081.250.222.240.570,-738.730.841.436.102,137,1.753.963.304.574.680,8.286.902.356.316.890,0,-9.822.760.255.307.630,75,20,3.479.452.238.870.410,"1190521017027590000,00%"
Red,Rain,High,4.070.210.199.625.250,-7.397.839.654.872.930,163,15.550.715.676.083.900,7.168.955.704.919.170,0,7.871.625.105.699.620,63,42,304.984.923.420.363,"2251821033658080000,00%"
Yellow,Clear,High,40.692.025.149.241.900,-738.770.378.616.459,211,7.687.507.028.441.920,21.355.732.269.475.700,0,-6.310.026.571.968.210,28,44,39.814.757.613.746.200,"2514897282694570000,00%"
Yellow,Clear,High,4.078.802.239.527.210,-7.389.665.086.620.260,238,3.364.798.015.422.790,3.800.786.227.720.610,0,4.672.341.347.008.980,47,43,3.375.506.215.714.680,"1476419348964220000,00%"
Yellow,Snow,High,40.842.923.408.709.300,-739.208.278.188.745,203,53.475.418.353.034.300,5.342.001.120.101.440,0,907.393.812.362.072,56,19,12.475.214.521.086.200,"133387440128809000,00%"
Red,Snow,High,4.074.700.847.035.750,-7.382.390.492.820.740,224,7.071.338.187.045.730,908.884.724.577.127,0,6.939.967.616.626.180,53,0,1.701.708.563.128.250,"714552344177714000,00%"
Green,Rain,High,4.087.167.402.844.630,-7.377.303.958.126.100,287,55.165.237.536.108.900,4.247.900.316.993.060,0,26.428.043.270.842.500,88,20,6.438.908.684.077.890,"2620034133824550000,00%"
Green,Rain,High,4.065.213.651.372.060,-7.394.389.002.247.680,84,56.648.608.320.674.600,934.689.086.516.843,0,16.669.304.186.792.900,82,12,16.055.234.142.758.000,"2239979849641620000,00%"
Red,Clear,High,4.073.822.992.139.030,-7.397.064.494.243.390,233,6.555.635.764.573.020,32.107.814.587.262.000,0,-3.809.113.563.225.290,15,33,4.165.337.371.224.370,"1196290941580030000,00%"
Red,Fog,High,40.656.548.539.595.200,-739.660.153.264.432,88,9.060.374.046.808.760,9.162.346.639.642.380,0,-725.815.846.519.585,7,18,32.155.388.825.296.000,"2118040239058230000,00%"
Yellow,Rain,High,4.079.767.391.273.510,-737.628.638.049.836,174,1.778.539.284.966.380,31.119.818.714.403.600,0,2.547.809.001.176.340,49,7,3.598.993.057.386.410,"2358689183638170000,00%"
Green,Snow,High,4.073.177.869.610.600,-7.394.450.757.799.330,158,7.892.807.496.383.740,9.608.762.736.277.780,0,-9.111.323.698.137.510,49,13,27.832.974.864.013.500,"179108504178256000,00%"
Yellow,Fog,High,4.073.414.581.958.540,-7.391.899.149.629.220,22,14.499.791.022.881.300,835.793.619.822.965,0,30.773.105.748.691.200,39,42,40.426.704.771.239.200,"111566775300157000,00%"
Green,Clear,High,4.089.890.284.956.130,-7.386.265.549.090.300,256,6.881.620.203.719.600,1.997.411.241.775.140,0,-20.668.456.072.461.600,43,4,21.284.647.878.028.200,"2714019795733590000,00%"
Red,Clear,High,40.874.673.438.082.100,-7.392.886.869.638.740,211,60.717.488.551.323.900,4.314.043.356.702.020,0,40.457.827.120.720.400,95,44,8.320.070.183.687,"1875825208848040000,00%"
Red,Fog,High,4.072.103.726.142.970,-7.374.844.426.623.140,143,5.883.740.140.940.220,9.682.607.994.577.740,1,911.120.954.296.778,73,38,1.583.221.777.303.860,"2127335652958910000,00%"
Green,Fog,High,4.079.633.799.160.750,-73.758.055.988.893,152,9.948.130.385.163.390,6.583.660.647.436.710,0,-46.976.837.945.849.400,41,23,33.697.549.082.786.100,"1509905509485370000,00%"
Green,Snow,High,4.070.411.764.257.990,-7.387.915.785.968.140,62,42.033.561.647.321.100,877.592.603.290.402,1,5.317.470.039.928.170,67,1,4.781.219.413.696.820,"1322935988895120000,00%"
Green,Rain,High,4.085.479.659.325.210,-7.393.316.043.361.110,77,3.346.604.329.106.510,8.799.595.840.253.090,0,-9.088.773.181.529.000,13,29,27.306.111.234.890.100,"1764403998844280000,00%"
Yellow,Rain,High,40.667.943.376.915.900,-7.381.938.863.565.140,238,6.104.295.104.957.190,21.548.414.819.677.500,0,-9.949.869.120.411.530,53,9,4.936.175.770.298.450,"1537991255469550000,00%"
Yellow,Clear,High,4.087.728.467.818.780,-7.398.380.486.665.440,234,11.425.405.599.268.700,7.972.270.394.290.010,0,-14.834.366.300.624.000,18,23,7.674.049.035.681.760,"1683813891918380000,00%"
Green,Fog,High,4.074.456.604.486.660,-7.372.462.263.587.930,43,1.540.963.330.969.640,6.012.914.934.337.470,0,10.763.143.318.801.500,5,13,2.797.644.329.928.110,"119707086525443000,00%"
Green,Clear,High,40.749.409.482.235.100,-7.392.072.844.792.980,149,1.375.905.230.659.350,5.574.350.416.190.250,0,-34.602.657.470.501.600,25,38,43.730.700.756.098.800,"2310508260986440000,00%"
Green,Fog,High,4.071.465.881.374.330,-7.374.761.574.676.680,279,1.781.503.625.771.000,4.810.940.211.092.080,0,8.921.007.624.941.920,38,45,8.999.434.391.645.090,"1015593718445100000,00%"
Green,Fog,High,407.093.079.452.112,-7.379.457.551.244.240,280,1.874.358.575.540.460,4.838.860.296.381.690,0,-9.459.982.204.517.290,16,48,42.171.160.711.699.600,"275348077155999000,00%"
Yellow,Fog,High,4.066.374.329.459.000,-7.392.086.501.437.580,100,19.690.966.039.912.000,18.560.272.657.245.600,0,5.018.862.989.909.350,14,16,35.446.278.214.883.900,"1837625929151240000,00%"
Yellow,Fog,High,4.065.636.532.140.150,-7.375.493.933.826.380,137,5.626.293.893.947.650,9.169.943.362.934.500,1,-8.933.485.934.182.970,72,49,4.733.448.613.837.780,"231420076773539000,00%"
Yellow,Rain,High,406.527.963.169.557,-7.396.391.832.578.540,108,6.108.092.751.085.560,8.143.735.399.879.760,0,-43.893.860.739.124.000,79,24,2.738.769.305.466.090,"647140343143885000,00%"
Yellow,Rain,High,4.064.750.525.173.310,-7.373.867.892.584.120,122,2.108.949.446.399.000,9.565.803.164.764.440,0,8.339.346.362.070.330,99,21,3.429.669.387.537.960,"299754570601236000,00%"
Red,Fog,High,4.086.169.559.395.140,-7.383.220.208.853.470,278,3.715.192.335.664.270,9.829.108.918.770.490,0,-8.823.978.614.115.760,80,33,1.757.899.062.400.260,"2523715411709650000,00%"
Red,Fog,High,40.726.056.724.120.500,-738.879.832.512.479,17,5.308.724.895.622.190,9.119.941.853.762.640,0,-45.804.328.550.664.200,85,26,42.907.520.597.463.600,"238916866490790000,00%"
Green,Rain,High,40.663.623.282.262.500,-7.391.002.325.036.220,93,807.300.246.726.967,8.087.055.325.232.440,0,14.406.960.974.845.900,93,8,37.593.533.885.759.100,"2712474803379020000,00%"
Yellow,Snow,High,4.065.426.543.768.350,-7.370.069.756.558.440,154,5.471.178.941.599.330,2.588.828.749.901.990,0,18.202.250.782.467.700,56,46,4.883.083.242.200.220,"193162629418572000,00%"
Yellow,Rain,High,40.795.134.548.716.800,-7.381.371.828.663.460,49,7.069.084.622.291.220,15.608.043.624.860.600,1,-9.096.807.280.253.320,57,36,8.194.554.823.033.220,"697788998057907000,00%"
Yellow,Rain,High,4.062.951.265.608.030,-7.388.820.618.767.490,92,4.354.463.997.756.010,24.703.621.963.248.500,1,-7.124.923.414.160.130,60,4,37.606.794.445.954.300,"821317871675514000,00%"
Yellow,Fog,High,4.070.596.257.687.510,-7.385.009.583.327.200,280,6.153.749.108.717.610,5.844.443.944.760.370,0,3.711.412.106.750.710,39,3,40.000.876.838.257.400,"1382196888442100000,00%"
Green,Clear,High,4.080.060.867.103.950,-7.385.127.260.909.480,131,5.101.479.253.011.890,9.048.374.323.482.500,0,9.468.033.799.114.670,69,49,34.967.093.860.358.700,"838282995438581000,00%"
Yellow,Clear,High,40.665.805.592.964.000,-7.392.189.888.257.470,93,6.697.069.206.252.670,9.809.872.590.097.000,0,7.125.630.085.879.650,38,4,33.971.384.230.687.200,"753406581464097000,00%"
Red,Clear,High,406.743.324.722.579,-7.398.082.983.605.890,206,4.510.943.624.930.790,59.082.799.909.979.200,0,6.688.393.199.336.960,2,0,37.025.607.225.952.000,"1909953901271440000,00%"
Yellow,Fog,High,40.664.707.212.239.200,-7.378.247.208.149.770,211,2.599.124.896.213.390,33.994.233.127.782,0,-3.560.516.303.710.330,36,0,4.776.925.896.699.150,"1377186438594550000,00%"
Yellow,Snow,High,40.879.599.500.972.800,-7.371.287.831.791.590,225,25.607.533.742.603.400,7.758.948.894.099.600,0,-883.828.153.621.248,50,8,9.247.105.619.850.170,"2364839680555270000,00%"
Green,Rain,High,4.066.917.664.738.890,-7.390.144.160.934.820,243,28.107.514.435.542.300,87.867.136.232.313,0,-3.001.493.182.053.020,24,4,41.999.232.765.707.700,"1036613937354620000,00%"
Green,Clear,High,4.087.185.270.079.030,-7.396.143.667.844.140,252,718.481.421.724.164,103.765.499.723.947,0,3.421.605.244.608.310,82,16,21.974.798.779.374.000,"1945741172829080000,00%"
Red,Rain,High,4.075.608.392.760.890,-7.393.814.774.403.940,254,2.448.580.357.873.730,7.978.756.247.957.720,0,42.656.456.718.910.300,50,18,19.025.834.312.854.300,"514012866033356000,00%"
Yellow,Fog,High,408.293.705.863.757,-7.375.185.218.267.230,83,6.816.177.720.345.110,3.454.833.195.503.700,0,-11.213.570.638.811.200,11,23,39.251.138.013.584.800,"2403046303871070000,00%"
Green,Clear,High,4.077.520.345.337.710,-7.375.186.017.854.230,238,30.578.611.771.755.000,8.502.783.629.197.490,0,8.110.937.604.266.080,23,27,30.373.620.502.557.800,"1468448971174840000,00%"
Red,Fog,High,40.825.350.153.553.100,-7.372.043.857.279.840,180,5.810.189.983.033.360,866.551.427.209.114,0,1.586.712.434.020.600,84,40,25.033.238.178.509.000,"282530365561953000,00%"
Green,Snow,High,4.085.847.501.470.850,-7.393.591.281.178.240,259,26.530.803.736.826.900,31.847.240.085.862,0,6.324.233.125.105.940,98,48,5.408.009.035.267.140,"965716159430293000,00%"
Red,Fog,High,40.618.548.857.255.400,-7.387.452.930.322.460,180,46.408.425.166.220.400,4.936.021.179.347.680,1,6.560.312.599.843.390,58,24,3.066.726.952.102.180,"1915291405625950000,00%"
Red,Fog,High,40.709.652.381.327.300,-7.382.971.219.283.440,289,6.359.024.898.499.590,5.067.000.045.206.040,0,3.730.654.231.029.240,44,18,10.569.963.523.166.500,"204942918190683000,00%"
Green,Fog,High,408.610.361.474.081,-7.381.632.061.816.260,196,7.322.612.011.807.630,9.485.735.452.851.350,0,6.948.498.418.276.950,28,11,16.467.572.405.997.200,"2948678675166440000,00%"
Green,Fog,High,4.061.768.703.466.410,-7.373.120.972.952.290,24,2.523.133.592.682.270,9.449.957.352.278.170,0,5.938.023.064.887.950,93,43,35.724.446.836.429.000,"1053190135030260000,00%"
Yellow,Fog,High,4.084.284.764.805.170,-7.380.493.836.716.610,51,11.182.633.952.506.300,485.497.540.889.611,0,8.617.010.727.636.670,54,48,25.357.410.530.689.200,"101933131418386000,00%"
Red,Rain,High,40.765.267.102.368.800,-7.380.518.717.870.130,131,18.067.248.548.411.400,5.291.001.907.098.260,0,10.544.515.898.674.500,13,24,12.701.657.463.895.500,"1054073711937060000,00%"
Red,Snow,High,4.076.105.650.942.010,-7.397.432.833.641.450,119,15.025.491.826.046.400,81.881.520.046.721,0,370.343.833.867.643,71,15,3.398.741.782.199.300,"1675751778547990000,00%"
Red,Clear,High,4.070.154.727.384.920,-7.394.495.831.441.860,208,50.450.448.116.512.400,12.733.224.548.275.800,0,-7.916.841.939.481.020,36,44,4.078.059.556.456.440,"528902018946672000,00%"
Yellow,Rain,High,4.086.279.226.391.300,-7.390.889.177.092.120,11,7.749.564.630.430.830,9.605.126.106.914.990,0,-38.455.930.123.778.700,47,10,4.282.964.319.578.110,"1836776494474900000,00%"
Red,Rain,High,40.883.490.072.693.500,-7.390.317.092.449.430,176,4.645.819.728.770.760,8.965.686.319.876.670,0,-8.701.714.966.296.600,79,40,49.539.268.827.368.300,"2399280080636210000,00%"
Yellow,Rain,High,40.650.355.342.971.500,-7.382.890.888.993.760,128,7.812.966.973.509.470,8.548.405.880.064.540,0,5.379.581.127.912.880,48,45,23.547.500.848.552.800,"217047057766145000,00%"
